Year,20 and under,65 and over
2000,5534775,2386707
2001,5574095,2437907
2002,5594861,2482717
2003,5610944,2530885
2004,5627963,2580919
2005,5662346,2634718
2006,5712380,2696634
2007,5795305,2765155
2008,5888849,2842946
2009,5953995,2934149
2010,5982077,3033592
2011,6031139,3146020
2012,6114010,3266066
2013,6189499,3382027
2014,6261229,3493429
2015,6326423,3606906
2016,6403128,3724620
2017,6462920,3839210
2018,6525654,3964439
2019,6564164,4107980
2020,6536268,4246548
2021,6552347,4367146
2022,6659327,4488993
2023,6742553,4584754
2024,6839343,4741830
2025,6918580,4901486
2026,6982253,5069792
2027,7029162,5236504
2028,7058596,5400670
2029,7080035,5555888
2030,7097230,5697002
2031,7107751,5828600
2032,7118252,5954533
2033,7127483,6080139
2034,7137236,6211279
2035,7150891,6339609
2036,7168648,6482600
2037,7184512,6615426
2038,7209669,6730013
2039,7241432,6831028
2040,7275459,6921032
2041,7316272,7002521
2042,7354762,7078073
2043,7387282,7150998
2044,7429202,7227413
2045,7470677,7306809
2046,7512382,7398791
2047,7554306,7495696
2048,7596431,7602329
2049,7638215,7708299
2050,7679074,7815760
2051,7718838,7923711
2052,7757343,8028933
2053,7794453,8133957
2054,7830001,8241322
2055,7863723,8353154
2056,7895343,8463873
2057,7924674,8567647
2058,7951597,8669748
2059,7976108,8770690
2060,7998299,8871460
2061,8018410,8962536
2062,8036786,9045187
2063,8053869,9120432
2064,8070159,9197123
2065,8086142,9282623
2066,8102268,9365497
2067,8118967,9437926
2068,8136598,9512271
2069,8155422,9594431
2070,8175626,9682673
2071,8197310,9776914
